City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,arraial do cabo,-22.9661,-42.0278,75.24,90,93,22.64,BR,1675232028
109,olinda,-8.0089,-34.8553,80.33,74,40,5.75,BR,1675231910
110,barrow,71.2906,-156.7887,-5.78,77,0,26.46,US,1675232029
111,hofn,64.2539,-15.2082,28.2,64,84,10.38,IS,1675232030
112,inhambane,-23.865,35.3833,80.91,61,67,11.05,MZ,1675231968
113,cabo san lucas,22.8909,-109.9124,69.51,74,67,5.06,MX,1675231441
114,laguna,38.421,-121.4238,44.78,67,0,5.75,US,1675232032
115,lucea,18.451,-78.1736,76.86,79,6,13.06,JM,1675232033
116,castro,-24.7911,-50.0119,62.89,98,100,2.68,BR,1675232033
117,buala,-8.145,159.5921,82.74,73,94,6.89,SB,1675232035
118,bay roberts,47.5999,-53.2648,29.34,91,100,8.01,CA,1675232035
119,pringsewu,-5.3582,104.9744,85.82,69,98,0.85,ID,1675232036
120,hamilton,39.1834,-84.5333,24.44,70,100,5.75,US,1675232037
121,makuyuni,-4.7333,38.1,79.54,59,4,3.24,TZ,1675232038
122,tuktoyaktuk,69.4541,-133.0374,-38.2,74,0,4.61,CA,1675231900
123,brigantine,39.4101,-74.3646,36.0,92,100,4.61,US,1675231915
124,kimbe,-5.5502,150.1429,81.55,81,97,4.23,PG,1675231811
125,minusinsk,53.7103,91.6875,5.99,88,100,1.36,RU,1675232040
126,saskylakh,71.9167,114.0833,-16.85,97,100,18.63,RU,1675231949
127,kruisfontein,-34.0033,24.7314,72.88,57,0,10.74,ZA,1675232041
128,aykhal,66.0,111.5,-21.51,98,42,6.22,RU,1675232042
129,zaysan,47.4667,84.8667,13.91,84,99,2.91,KZ,1675232043
130,te anau,-45.4167,167.7167,63.55,94,100,2.01,NZ,1675232044
131,chernyshevskiy,63.0128,112.4714,-20.09,95,74,3.44,RU,1675232045
132,bethel,41.3712,-73.414,28.76,60,100,5.75,US,1675232017
133,toba,34.4833,136.85,44.6,53,100,2.39,JP,1675232046
134,naantali,60.4674,22.0243,29.86,100,75,2.3,FI,1675232047
135,meiktila,20.8667,95.8667,89.64,30,4,4.56,MM,1675232048
136,leirvik,59.7798,5.5005,40.62,95,100,11.68,NO,1675232049
137,nan,18.8333,100.6667,82.42,39,0,3.44,TH,1675232050
138,nouadhibou,20.931,-17.0347,58.98,72,100,20.71,MR,1675232051
139,tasiilaq,65.6145,-37.6368,15.96,72,97,8.86,GL,1675232052
140,khanu woralaksaburi,16.0617,99.8606,89.4,21,90,1.81,TH,1675232052
141,san patricio,28.017,-97.5169,39.04,86,100,12.68,US,1675232033
142,tabou,4.423,-7.3528,77.81,88,97,2.13,CI,1675232054
143,unai,-16.3575,-46.9061,67.33,80,49,2.39,BR,1675232055
144,airai,-8.9266,125.4092,69.24,85,85,2.73,TL,1675232057
145,broken hill,-31.95,141.4333,81.05,28,0,9.75,AU,1675232058
146,aklavik,68.2191,-135.0107,-29.67,100,68,6.71,CA,1675232059
147,pechenga,69.5259,31.1703,27.79,92,100,10.98,RU,1675232060
148,perry,37.2506,-83.1999,37.58,95,100,5.03,US,1675232061
149,busselton,-33.65,115.3333,83.35,31,0,6.67,AU,1675232062
150,sabang,5.8933,95.3214,80.06,72,95,3.76,ID,1675231976
151,tateyama,34.9833,139.8667,59.09,63,53,25.72,JP,1675232063
